id,title,artist,album,duration_sec,rank,explicit,preview_url
1436044322,Pipoca Moderna,Gilberto Gil,Expresso 2222,120,206800,False,"https://cdnt-preview.dzcdn.net/api/1/1/6/5/1/0/651daf3b9a762a823c93c7f135fe2240.mp3?hdnea=exp=1773080285~acl=/api/1/1/6/5/1/0/651daf3b9a762a823c93c7f135fe2240.mp3*~data=user_id=0,application_id=42~hmac=82733e33ed1daf0cfc076bf81ee876346ecdc77b7eff0b4a327353fa2c46d7bf"
2533530141,Automotivo Bibi Fogosa,Bibi Babydoll,Automotivo Bibi Fogosa,129,662569,True,"https://cdnt-preview.dzcdn.net/api/1/1/e/a/3/0/ea397b5bbbb318991620f25879bb7f3e.mp3?hdnea=exp=1773080285~acl=/api/1/1/e/a/3/0/ea397b5bbbb318991620f25879bb7f3e.mp3*~data=user_id=0,application_id=42~hmac=bd96edf6211539ffe089035e5789f9e598ec615bb115643cb04eadc5bb974139"
1270334702,Atrás Da Porta (Remastered 2021),Elis Regina,Elis (Remastered),171,166745,False,"https://cdnt-preview.dzcdn.net/api/1/1/5/7/6/0/576398c94ce2f88ce6031dbc19971203.mp3?hdnea=exp=1773080285~acl=/api/1/1/5/7/6/0/576398c94ce2f88ce6031dbc19971203.mp3*~data=user_id=0,application_id=42~hmac=e582fb1a12b6f2aa9672fd3e3af2a7352c8eecc58adcbb289f30e6464ed7dad2"
3839085101,EZ WIN (Ultra Slowed),reallyhydro,EZ WIN (Remix),84,304646,False,"https://cdnt-preview.dzcdn.net/api/1/1/3/e/7/0/3e73611b2c93510d1f41fd435705b594.mp3?hdnea=exp=1773080285~acl=/api/1/1/3/e/7/0/3e73611b2c93510d1f41fd435705b594.mp3*~data=user_id=0,application_id=42~hmac=128f5792bcf272a22eb2ee3c7a5b7f8a182e0886ae839cbf2c6d327f4d17e95b"
3511049601,SEQUÊNCIA FEITICEIRA,PEDRO SAMPAIO,SEQUÊNCIA FEITICEIRA,129,979923,True,"https://cdnt-preview.dzcdn.net/api/1/1/6/3/7/0/637280b9577a5c2272a10bbdecda0fad.mp3?hdnea=exp=1773080285~acl=/api/1/1/6/3/7/0/637280b9577a5c2272a10bbdecda0fad.mp3*~data=user_id=0,application_id=42~hmac=83ddafd9cadd67660a3e65f231671972229ef0a5625af8ce4500189ed0de0a5e"
3390765701,VOCE NA MIRA (Slowed),hwungii,VOCE NA MIRA,170,846427,False,"https://cdnt-preview.dzcdn.net/api/1/1/5/c/a/0/5ca086ed51f4d263059f415d94031748.mp3?hdnea=exp=1773080285~acl=/api/1/1/5/c/a/0/5ca086ed51f4d263059f415d94031748.mp3*~data=user_id=0,application_id=42~hmac=f224529f7e12f781fbb10b11dcd3698c6b4a39dd305156e052687b926b6f3f3e"
777279842,Toque Tropical,Junior Mendes,Quase Parando / Toque Tropical,176,146879,False,"https://cdnt-preview.dzcdn.net/api/1/1/4/3/5/0/43542dce76fd198d7007c5ffed9e778e.mp3?hdnea=exp=1773080285~acl=/api/1/1/4/3/5/0/43542dce76fd198d7007c5ffed9e778e.mp3*~data=user_id=0,application_id=42~hmac=0744b87d2f98ac24be2114879c5c7716e8fe49447e2ccf2c9d08d39e84b4b635"
3640608352,Diário de um Cafajeste,DJ Oreia,Diário de um Cafajeste,357,895156,False,"https://cdnt-preview.dzcdn.net/api/1/1/6/e/1/0/6e1769c658163cb2f7fc0eb6d7501e6e.mp3?hdnea=exp=1773080285~acl=/api/1/1/6/e/1/0/6e1769c658163cb2f7fc0eb6d7501e6e.mp3*~data=user_id=0,application_id=42~hmac=5b5341ba37ca2989564de1fedeab89c0c8fad60f6edd07a36c7cd7192bd5e8c0"
3390765691,VOCE NA MIRA,hwungii,VOCE NA MIRA,136,725601,False,"https://cdnt-preview.dzcdn.net/api/1/1/a/3/5/0/a355a8ec341c41d5cf13e9163a9cc210.mp3?hdnea=exp=1773080285~acl=/api/1/1/a/3/5/0/a355a8ec341c41d5cf13e9163a9cc210.mp3*~data=user_id=0,application_id=42~hmac=5203e44bef950562bacf7323be578501b4921bf0c506cd5bdb2b906606bcf313"
1069171202,Talismã,Amanda Magalhães,Fragma,283,162415,False,"https://cdnt-preview.dzcdn.net/api/1/1/1/1/6/0/116439f465770f0f07ac784b66769eab.mp3?hdnea=exp=1773080285~acl=/api/1/1/1/1/6/0/116439f465770f0f07ac784b66769eab.mp3*~data=user_id=0,application_id=42~hmac=f5fb8771176d2ac00ed380f9de604766069ca8628f8ded4f968516618fb528b0"
3366075051,Escondendo o Ouro (Ao Vivo),Zé Neto & Cristiano,"Magia das Estrelas, Vol. 1 (Ao Vivo)",171,889976,False,"https://cdnt-preview.dzcdn.net/api/1/1/c/6/d/0/c6d90cde7ded959d8e1362f9c1688db5.mp3?hdnea=exp=1773080285~acl=/api/1/1/c/6/d/0/c6d90cde7ded959d8e1362f9c1688db5.mp3*~data=user_id=0,application_id=42~hmac=cdfc93dcb1197ecaf417fe73dd2885aac0f1384def9402c650cfcec24ba6eedc"
